title,image,text,purl1,pname1,purl2,pname2,purl3,pname3,purl4,pname4
"UnProjection, HyperNP",unprojection.jpg,"Use deep learning (encoder-decoder) mdoels to emulate projection methods (UMAP, tSNE, etc.) and perform inverse projection",https://dry-cliffs-06878.herokuapp.com/,(Demo),2021/TVCG2021-UnProjection.pdf,(TVCG),https://arxiv.org/abs/2106.13777,(arXiv),,
"Kyrix, Kyrix-S, Kyrix-J",kyrix2.jpg,Optimized database + visualization systems that enables highly interactive web-based pan-zoom visualizations,2019/EuroVis2019-Kyrix.pdf,(EuroVis),2019/VLDB2019-Kyrix.pdf,(VLDB),2020/VIS2020-KyrixS.pdf,(InfoVis),2022/CIDR2022-KyrixJ.pdf,(CIDR)
Bayesian Reasoning,bayes2.jpg,"Improving medical risk communicatoin using phrasing, visualization, and interactions while taking into account the user's spatial ability.",2021/CHI2021-Interaction.pdf,(CHI),2015/InfoVis2015-Bayes.pdf,(VIS),2016/InfoVis2016-PROACT.pdf,(VIS),,
Cognitive Bias,progressive.jpg,Studies of how cognitive biases can influence a user's ability to effectively make use of progressively updating visualization,2021/TVCG2021-ProgressiveBias.pdf,(TVCG),,,,,,
NeuralCubes,neuralcubes.jpg,NeuralCube uses a deep learning model to replace databases for interactive visualizations with minimum loss in accuracy,2021/BigData2021-NeuralCubes.pdf,(BigData),,,,,,
Data Augmentation,cava.jpg,CAVA is an visualization tool that helps a user perform data augmentation interactively by extracting data from knowledge graphs,2020/VIS2020-CAVA.pdf,(VIS),,,,,,
Multi-View Composition,multiview.jpg,A study of the composition of multi-view visualizations and a tool that recommends multiview visualization layouts,2020/VIS2020-MultiView.pdf,(VIS),,,,,,
Analytic Provenance,provenance.jpg,Analytic provenance is the analysis of user's interactions to understand the user's analysis goals and predict their future actions,2020/EuroVis2020-Provenance-STAR.pdf,(EuroVis),2016/SIGMOD2016-ForeCache.pdf,(SIGMOD),2014/VAST2014-Waldo.pdf,(VAST),2009/CGA2009-AnalyticProvenance.pdf,(CGA)
NN Architecture Search,remap.jpg,"We introduce REMAP, a system that helps a user perform guided search of neural network architectures",2019/VAST2019-REMAP.pdf,(VAST),,,,,,
AutoML + VIS,snowcat.png,"A visual analytics system (Snowcat) that integrates AutoML for model construction, comparison, and selection.",2019/EuroVis2019-Snowcat.pdf,(EuroVis),2019/EuroVis2019-DIM.pdf,(EuroVis Short),,,,
